こんち(は|わ)$	こんにちは|やほー|ちわす|ども|またあんた？
おはよう|オハヨウ	おはよ！|ねみいね…|小鳥さんおはよう！
こんばん(は|わ)	こんばんわ|おばんですね|いま何時？
^(お|う)す$	うーす
^やあ[、。！]*$	やほー
バイバイ|ばいばい	ばいばい|バイバーイ
^じゃあ?ね?$|またね	またねー|じゃまたね|また遊んでね
何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ
^どれ[？?]$	アレはアレ|その顔のまんなかについてるものだよ|アレっすよ
^[し知]ら[なねん]	やばいー|ほっとくよ|知らんの？

-2##てめえ|おまえ|お前|あんた	-5##%match%じゃないよ！|5##%match%って誰のこと？|%match%なんて呼ばれても…
-5##バカ|ばか|馬鹿	%match%じゃないよ！|%match%ゆうやつが%match%なんじゃ！|むかつく！
ごめん|すまん|(許|ゆる)し	じゃあお菓子買って|もう～|知らないよ！
5##かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%ってゆった！？ ゆった！？
-5##ブス|ぶす	-10##ふざけんじゃないわよ！|-5##殺しますわよ？|-10##だれが%match%じゃあ！


春	お花見したいね～|サイクリング行きたいな～|春はお散歩！
夏	うぅ…海！|プール！ プール！！|アイス―――！|花火もするさ！
秋	イモ！ しかも焼いて！|葉っぱが赤くなるよね|葉っぱが黄色くなるよ|さんまくいてえ！
冬	やっぱり鍋ですな|さむいのはわりと好きだな|スキーできる？|スノボしたい！

甘い|あまい	お菓子くれるの？|あんこも好きだよ|チョコもいいね
チョコ	眠いときには血糖値を上げるからいいんだよ|チョコ大好き！|どこのチョコが好き？|冷やして食べるの|牛乳も飲みたい|虫歯上等！
クランチ	クランチいいよね！|サクサク感がステキ
アーモンド	アーモンドチョコ好きっス|たまに歯にはさまらない？
ホワイトチョコ	えーと、ホワイトチョコは実はにがて…|ごめん、チョコは苦味が好きなのさ
大丈夫|だいじょぶ|だいじょぶ	ホントかな|しってる！|よかった…
疲れた|つかれた|きつい	大丈夫？|体調悪いの？|頑張り過ぎはダメだよ!|サボっちゃえ！|最近寝れてる?|何か力になれるかな…
あんまん|アンマン	中村屋のあんまんが…|あったかいのすき|あの…こしあんが…いい～

自転車|チャリ|ちゃり	タイヤが小さいやつがかわいくて(・∀・)ｲｲ!!|BD-1が(　ﾟдﾟ)ﾎｽｨ…|DAHONでもいいよ|モールトンくれとはいわないよ|ルイガノもいいんだよねえ
